Disease,Description
Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
myocardial infarction,A heart attack occurs when the flow of blood to the heart is severely reduced or blocked.
hypertension,High blood pressure is a condition in which the force of the blood against the artery walls is too high.
hyperglycemia,High blood sugar happens when the body has too little insulin or cannot use insulin properly.
hypoglycemia,Low blood sugar is a condition in which your blood sugar (glucose) level is lower than the standard range.
cephalalgia,Headache is pain or discomfort in the head or face area.
pyrexia,Fever is a temporary increase in your body temperature often due to an illness.
edema,Swelling caused by excess fluid trapped in your body's tissues.
tachycardia,A heart rate that's too fast.
bradycardia,A heart rate that's too slow.
dyspnea,Shortness of breath or difficulty breathing.
neoplasm,An abnormal growth of cells which may be benign or cancerous.
idiopathic,A condition that arises spontaneously or for which the cause is unknown.
Angina Pectoris,Angina is a type of chest pain caused by reduced blood flow to the heart.
Arrhythmia,An arrhythmia is a problem with the rate or rhythm of your heartbeat. It means that your heart beats too quickly or slowly.
Atherosclerosis,Atherosclerosis is the hardening and narrowing of the arteries due to a buildup of plaque.
Bronchitis,Bronchitis is an inflammation of the lining of your bronchial tubes which carry air to and from your lungs.
COPD,Chronic obstructive pulmonary disease is a chronic inflammatory lung disease that causes obstructed airflow from the lungs.
Cirrhosis,Cirrhosis is a late-stage scarring of the liver caused by many forms of liver diseases and conditions.
Dementia,Dementia is a general term for loss of memory and language severe enough to interfere with daily life.
Emphysema,Emphysema is a lung condition that causes shortness of breath due to damaged air sacs (alveoli).
Epilepsy,Epilepsy is a neurological disorder in which brain activity becomes abnormal causing seizures.
Hematoma,A hematoma is a pool of clotted or partially clotted blood that forms in an organ or tissue (a bad bruise).
Ischemia,Ischemia is a condition in which the blood flow (and thus oxygen) is restricted or reduced in a part of the body.
Leukemia,Leukemia is cancer of the body's blood-forming tissues including the bone marrow and the lymphatic system.
Meningitis,Meningitis is an inflammation of the fluid and membranes surrounding your brain and spinal cord.
Osteoporosis,Osteoporosis causes bones to become weak and brittle so that a fall or even mild stress can cause a fracture.
Pancreatitis,Pancreatitis is inflammation in the pancreas a long flat gland that sits tucked behind the stomach.
Renal Failure,Kidney failure is a condition in which the kidneys lose the ability to remove waste and balance fluids.
Stroke,A stroke occurs when the blood supply to part of your brain is interrupted or reduced preventing brain tissue from getting oxygen.
Syncope,Syncope is the medical term for fainting or passing out usually caused by a temporary drop in blood flow to the brain.
Lethargy,Lethargy is a state of tiredness or lack of energy often accompanied by decreased motivation.
Pruritus,Pruritus is the medical term for itching which can be caused by skin diseases or internal medicine problems.
Erythema,Erythema is redness of the skin or mucous membranes caused by increased blood flow in superficial capillaries.
Cyanosis,Cyanosis is a bluish discoloration of the skin resulting from poor circulation or inadequate oxygenation of the blood.
Benign,A term used to describe a tumor or growth that is not cancerous and does not spread to other parts of the body.
Malignant,A term used to describe a tumor that is cancerous and can invade nearby tissue and spread to other parts of the body.
Metastasis,Metastasis is the spread of cancer cells from the place where they first formed to another part of the body.
Prognosis,A prognosis is a doctor's opinion about how a disease will develop and the likely outcome for the patient.
Asymptomatic,Asymptomatic means that a person has a disease or condition but does not show any symptoms of it.
Acute,Acute describes a condition that comes on suddenly and severely but usually lasts for a short time.
Chronic,Chronic describes a condition that persists over a long period of time often for months or years.
Lesion,A lesion is an area of abnormal tissue change which can be a sore a wound or a tumor.
Biopsy,A biopsy is a procedure to remove a piece of tissue or a sample of cells from your body so that it can be tested.
Edema,Edema is swelling caused by excess fluid trapped in your body's tissues.
Atrophy,Atrophy is the wasting away or reduction in size of a body part cell organ or tissue.
Hypertrophy,Hypertrophy is the enlargement of an organ or tissue from the increase in size of its cells.
Hypoxia,Hypoxia is a state in which the body or a region of the body is deprived of adequate oxygen supply at the tissue level.
Inflammation,Inflammation is the body's process of fighting against things that harm it such as infections or injuries.
Anorexia,In a medical report anorexia simply means a loss of appetite rather than the eating disorder.
Vertigo,Vertigo is a sensation of feeling off-balance or a feeling that you or your surroundings are spinning.
Palpitation,Palpitations are feelings of having a fast-beating fluttering or pounding heart.
Aneurysm,An aneurysm is a bulge or ballooning in a blood vessel in the brain or heart.
Gout,Gout is a common and complex form of arthritis that can affect anyone characterized by sudden severe attacks of pain.
Scoliosis,Scoliosis is a sideways curvature of the spine that most often is diagnosed in adolescents.
Gastritis,Gastritis is a general term for a group of conditions with one thing in common: inflammation of the lining of the stomach.
Eczema,Eczema is a condition that makes your skin red and itchy. It's common in children but can occur at any age.
Anxiety,Anxiety is an emotion characterized by feelings of tension worried thoughts and physical changes like increased blood pressure.
Depression,Depression is a mood disorder that causes a persistent feeling of sadness and loss of interest.
Hernia,A hernia occurs when an internal organ or other body part protrudes through the wall of muscle or tissue that normally contains it.
Sepsis,Sepsis is a life-threatening condition that arises when the body's response to infection causes injury to its own tissues and organs.
Insomnia,Insomnia is a common sleep disorder that can make it hard to fall asleep hard to stay asleep or cause you to wake up too early.
Hyperextension,Hyperextension is an excessive joint movement in which the angle formed by the bones of a particular joint is opened beyond its normal healthy range.
